S.No,Station,Station Code,City,Division,Zone,no.
1,Ahera Halt,AHQ,Bagpat,Delhi,Delhi,1
2,Ailam,AILM,Shamli,Delhi,Delhi,1
3,Alawalpur I Pur,AIH,Bagpat,Delhi,Delhi,1
4,Amin,AMIN,Karnal,Delhi,Delhi,1
5,Anand Vihar,ANVR,Delhi,Delhi,Delhi,1
6,Anand Vihar Terminal,ANVT,Delhi,Delhi,Delhi,1
7,Asan,ASAN,Panipat,Delhi,Delhi,1
8,Asaoti,AST,Faridabad,Delhi,Delhi,1
9,Asaudah,ASE,Jhajjar,Delhi,Delhi,1
10,Asra Halt,ASAR,Hapur,Delhi,Delhi,1
11,Asthal Bohar Junction,ABO,Rohtak,Delhi,Delhi,1
12,Babarpur,BBDE,Panipat,Delhi,Delhi,1
13,Badli,BHD,Delhi,Delhi,Delhi,1
14,Bagpat Road,BPM,Bagpat,Delhi,Delhi,1
15,Bahadurgarh,BGZ,Bahadurgarh,Delhi,Delhi,1
16,Ballabgarh,BVH,Faridabad,Delhi,Delhi,1
17,Bamanheri,BMHR,Muzaffarnagar,Delhi,Delhi,1
18,Baoli,BAOL,Bagpat,Delhi,Delhi,1
19,Baraut,BTU,Bagpat,Delhi,Delhi,1
20,Bareta,BRZ,Mansa,Delhi,Delhi,1
21,Barka,BADK,Deoria,Delhi,Delhi,1
22,Barsola,BZO,Jind,Delhi,Delhi,1
23,Barwasni,BRNI,Sonipat,Delhi,Delhi,1
24,Basai Dhankot,BDXT,Gurgaon,Delhi,Delhi,1
25,Bazida Jatan,BZJT,Karnal,Delhi,Delhi,1
26,Behta Hazipur Halt,BHHZ,Ghaziabad,Delhi,Delhi,1
27,Bhaini Khurd,BZK,Karnal,Delhi,Delhi,1
28,Bhainswan,BASN,Sonipat,Delhi,Delhi,1
29,Bhambeva,BHMW,Jind,Delhi,Delhi,1
30,Bhankala Halt,BNQL,Saharanpur,Delhi,Delhi,1
31,Bhodwal Majri,BDMJ,Panipat,Delhi,Delhi,1
32,Bhudpur,BDHP,Bagpat,Delhi,Delhi,1
33,Bijwasan,BWSN,Delhi,Delhi,Delhi,1
34,Binjhol Halt,BNJL,Panipat,Delhi,Delhi,1
35,Bishanpur Haryana,BSPH,Rewari,Delhi,Delhi,1
36,Brar Square,BRSQ,Delhi,Delhi,Delhi,1
37,Budhakhera,BKDE,Jind,Delhi,Delhi,1
38,Budhlada,BLZ,Mansa,Delhi,Delhi,1
39,Butana,BUTN,Sonipat,Delhi,Delhi,1
40,Chanakyapuri,CNKP,Delhi,Delhi,Delhi,1
41,Chander Nagar,CNJ,Ghaziabad,Delhi,Delhi,1
42,Chipyana Buzurg,CYZ,Ghaziabad,Delhi,Delhi,1
43,Datewas,DTW,Mansa,Delhi,Delhi,1
44,Daurala,DRLA,Meerut,Delhi,Delhi,1
45,Dayabasti,DBSI,Delhi,Delhi,Delhi,1
46,Delhi Adarsh Nagar,ANDI,Delhi,Delhi,Delhi,1
47,Delhi Azadpur,DAZ,Delhi,Delhi,Delhi,1
48,Delhi Cantonment,DEC,Delhi,Delhi,Delhi,1
49,Delhi Indrapuri,DLPI,Delhi,Delhi,Delhi,1
50,Delhi Kishanganj,DKZ,Delhi,Delhi,Delhi,1
51,Delhi Safdarjung,DSJ,Delhi,Delhi,Delhi,1
52,Delhi Sarai Rohilla,DEE,Delhi,Delhi,Delhi,1
53,Delhi Shahdara Junction,DSA,Delhi,Delhi,Delhi,1
54,Deoband,DBD,Saharanpur,Delhi,Delhi,1
55,Dhamtan Sahib,DTN,Jind,Delhi,Delhi,1
56,Dharodi,DHY,Jind,Delhi,Delhi,1
57,Dhirpur,DPP,Kurukshetra,Delhi,Delhi,1
58,Dhoda Khedi,DHKR,Kurukshetra,Delhi,Delhi,1
59,Dhola Mazra,DHMZ,Kurukshetra,Delhi,Delhi,1
60,Dhurana,DHRN,Panipat,Delhi,Delhi,1
61,Dighal,DGHL,Jhajjar,Delhi,Delhi,1
62,Diwana,DWNA,Kurukshetra,Delhi,Delhi,1
63,Duhai Halt,DXH,Ghaziabad,Delhi,Delhi,1
64,Fakharpur Halt,FAP,Bahraich,Delhi,Delhi,1
65,Faridabad,FDB,Faridabad,Delhi,Delhi,1
66,Faridabad New Town,FDN,Faridabad,Delhi,Delhi,1
67,Farukhnagar,FN,Gurgaon,Delhi,Delhi,1
68,Ganaur,GNU,Sonipat,Delhi,Delhi,1
69,Garhi Harsaru Junction,GHH,Gurgaon,Delhi,Delhi,1
70,Geong,GXG,Kaithal,Delhi,Delhi,1
71,Gharaunda,GRA,Karnal,Delhi,Delhi,1
72,Ghaso,GSO,Jind,Delhi,Delhi,1
73,Ghaziabad Junction,GZB,Ghaziabad,Delhi,Delhi,1
74,Ghevra,GHE,Delhi,Delhi,Delhi,1
75,Gohana,GHNA,Sonipat,Delhi,Delhi,1
76,Gokalgarh,GKG,Rewari,Delhi,Delhi,1
77,Gotra Halt,GTRA,Bagpat,Delhi,Delhi,1
